2026-03-09 17:09:17 | WARNING  | validator | Postava ID=614: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=618: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=627: pole 'species' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=645: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=653: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | WARNING  | validator | Postava ID=654: pole 'status' obsahuje 'unknown' hodnotu
2026-03-09 17:09:17 | INFO     | validator | Validace postav dokončena: 660 validních z 660, 0 duplicit, 132 anomálií, 21 bez location URL, 0 s broken reference
2026-03-09 17:09:17 | INFO     | validator | Kompletní validace dat dokončena
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | __main__ | SHRNUTÍ VALIDACE DAT
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | INFO     | __main__ | Celkem postav: 660
2026-03-09 17:09:17 | INFO     | __main__ | Celkem lokací: 126
2026-03-09 17:09:17 | INFO     | __main__ | Postavy s 'unknown' status: 78
2026-03-09 17:09:17 | INFO     | __main__ | Postavy s 'unknown' species: 10
2026-03-09 17:09:17 | INFO     | __main__ | Postavy bez location URL: 21
2026-03-09 17:09:17 | INFO     | __main__ | Lokace s 'unknown' dimension: 29
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
2026-03-09 17:09:17 | WARNING  | __main__ | Vysoký počet postav s 'unknown' status: 78 (11%)
2026-03-09 17:09:17 | WARNING  | __main__ | Vysoký počet lokací s 'unknown' dimension: 29 (23%)
2026-03-09 17:09:17 | INFO     | __main__ | KROK 3/4: Načítání dat do SQLite databáze
2026-03-09 17:09:17 | INFO     | __main__ | ------------------------------------------------------------
